Rt,Rt_1,Rt_2,Rt_3,Rt_4,Rt_5,Qt
0.998,3.726,0.989,0.513,2.216,2.817,238
0.548,0.998,3.726,0.989,0.513,2.216,214
0.804,0.548,0.998,3.726,0.989,0.513,186
3.627,0.804,0.548,0.998,3.726,0.989,185
7.999,3.627,0.804,0.548,0.998,3.726,225
32.995,7.999,3.627,0.804,0.548,0.998,331
38.105,32.995,7.999,3.627,0.804,0.548,481
11.726,38.105,32.995,7.999,3.627,0.804,518
15.098,11.726,38.105,32.995,7.999,3.627,439
27.014,15.098,11.726,38.105,32.995,7.999,483
31.913,27.014,15.098,11.726,38.105,32.995,364
18.387,31.913,27.014,15.098,11.726,38.105,378
56.219,18.387,31.913,27.014,15.098,11.726,505
28.823,56.219,18.387,31.913,27.014,15.098,1070
11.695,28.823,56.219,18.387,31.913,27.014,396
3.276,11.695,28.823,56.219,18.387,31.913,348
4.545,3.276,11.695,28.823,56.219,18.387,297
15.789,4.545,3.276,11.695,28.823,56.219,298
44.833,15.789,4.545,3.276,11.695,28.823,827
13.121,44.833,15.789,4.545,3.276,11.695,733
31.453,13.121,44.833,15.789,4.545,3.276,521
18.12,31.453,13.121,44.833,15.789,4.545,495
13.057,18.12,31.453,13.121,44.833,15.789,532
1.586,13.057,18.12,31.453,13.121,44.833,393
0,1.586,13.057,18.12,31.453,13.121,309
7.207,0,1.586,13.057,18.12,31.453,292
0.154,7.207,0,1.586,13.057,18.12,254
7.161,0.154,7.207,0,1.586,13.057,234
6.643,7.161,0.154,7.207,0,1.586,255
31.563,6.643,7.161,0.154,7.207,0,272
33.844,31.563,6.643,7.161,0.154,7.207,520
41.37,33.844,31.563,6.643,7.161,0.154,746
25.373,41.37,33.844,31.563,6.643,7.161,525
6.054,25.373,41.37,33.844,31.563,6.643,382
6.353,6.054,25.373,41.37,33.844,31.563,381
8.462,6.353,6.054,25.373,41.37,33.844,420
21.843,8.462,6.353,6.054,25.373,41.37,625
7.737,21.843,8.462,6.353,6.054,25.373,477
9.337,7.737,21.843,8.462,6.353,6.054,442
2.658,9.337,7.737,21.843,8.462,6.353,422
14.634,2.658,9.337,7.737,21.843,8.462,388
7.073,14.634,2.658,9.337,7.737,21.843,349
12.957,7.073,14.634,2.658,9.337,7.737,446
4.2,12.957,7.073,14.634,2.658,9.337,453
14.263,4.2,12.957,7.073,14.634,2.658,441
31.214,14.263,4.2,12.957,7.073,14.634,391
11.437,31.214,14.263,4.2,12.957,7.073,580
1.953,11.437,31.214,14.263,4.2,12.957,354
5.17,1.953,11.437,31.214,14.263,4.2,365
2.496,5.17,1.953,11.437,31.214,14.263,378
12.749,2.496,5.17,1.953,11.437,31.214,420
5.815,12.749,2.496,5.17,1.953,11.437,315
0,5.815,12.749,2.496,5.17,1.953,271
0,0,5.815,12.749,2.496,5.17,237
0,0,0,5.815,12.749,2.496,187
0,0,0,0,5.815,12.749,182
0,0,0,0,0,5.815,171
0,0,0,0,0,0,157
0,0,0,0,0,0,162
0,0,0,0,0,0,149
10.168,0,0,0,0,0,253
0,10.168,0,0,0,0,225
0,0,10.168,0,0,0,178
0,0,0,10.168,0,0,128
0,0,0,0,10.168,0,131
0,0,0,0,0,10.168,121
6.363,0,0,0,0,0,217
0,6.363,0,0,0,0,201
0,0,6.363,0,0,0,197
0,0,0,6.363,0,0,186
7.623,0,0,0,6.363,0,241
2.864,7.623,0,0,0,6.363,198
0,2.864,7.623,0,0,0,212
0,0,2.864,7.623,0,0,177
0,0,0,2.864,7.623,0,162
0,0,0,0,2.864,7.623,155
0,0,0,0,0,2.864,147
0,0,0,0,0,0,144
0,0,0,0,0,0,140
0,0,0,0,0,0,135
0,0,0,0,0,0,130
0,0,0,0,0,0,126
0,0,0,0,0,0,122
0,0,0,0,0,0,119
0,0,0,0,0,0,116
0,0,0,0,0,0,113
0,0,0,0,0,0,111
0,0,0,0,0,0,106
0,0,0,0,0,0,101
0,0,0,0,0,0,97.3
0,0,0,0,0,0,92.5
0,0,0,0,0,0,90.4
0,0,0,0,0,0,86.7
0,0,0,0,0,0,83.5
0,0,0,0,0,0,80.3
0,0,0,0,0,0,77.6
0,0,0,0,0,0,76
0,0,0,0,0,0,73.9
0,0,0,0,0,0,70.7
0,0,0,0,0,0,68
0,0,0,0,0,0,65.3
0,0,0,0,0,0,63.2
0,0,0,0,0,0,61.6
0,0,0,0,0,0,60
0,0,0,0,0,0,58.4
0,0,0,0,0,0,56.8
0,0,0,0,0,0,55.2
0.046,0,0,0,0,0,52.5
0,0.046,0,0,0,0,50.8
0,0,0.046,0,0,0,49.2
0,0,0,0.046,0,0,48
0,0,0,0,0.046,0,46
0,0,0,0,0,0.046,44.8
0,0,0,0,0,0,43.6
0,0,0,0,0,0,42.8
0,0,0,0,0,0,41.2
0,0,0,0,0,0,40
0,0,0,0,0,0,39.7
0,0,0,0,0,0,39
